loan_id,title_id,title,subject,publication_year,patron_id,patron_type,branch,checkout_date,due_date,return_date,renewals
1,731,A History of the Victorian Novel,Literature,1998,1862,Graduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-11-20,0
2,579,Principles of Organizational Behavior,Business,1958,2591,Undergraduate,Law Library,2024-09-01,2024-11-03,2024-11-10,2
3,888,The Cambridge Companion to Modern Sculpture,Art,1972,1204,Staff,Harold B. Lee Library,2024-09-01,2024-10-13,2024-09-01,0
4,255,The Cambridge Companion to Ethnomusicology,Music,1976,2306,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-01,0
5,457,Advanced the Victorian Novel,Literature,1986,848,Undergraduate,Music Library,2024-09-01,2024-09-22,2024-09-15,0
6,998,A History of Corporate Finance,Business,1976,2236,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,,0
7,1060,Topics in Thermodynamics,Engineering,1983,271,Undergraduate,Engineering Library,2024-09-01,2024-09-22,2024-09-01,0
8,848,A History of the Silk Road,History,1961,1041,Faculty,Law Library,2024-09-01,2024-12-30,2024-09-21,0
9,630,A History of Contract Law,Law,2017,1258,Undergraduate,Storage Annex,2024-09-01,2024-09-22,2024-09-16,0
10,580,Topics in Old English Verse,Literature,2000,1165,Undergraduate,Harold B. Lee Library,2024-09-01,2024-10-13,,1
11,446,Principles of Computer Networks,Computer Science,1969,2577,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-28,0
12,131,Topics in Geotechnical Design,Engineering,1958,1723,Undergraduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-10-08,1
13,783,Essays on Genomics,Biology,1990,18,Graduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-09-23,0
14,306,The Practice of Computer Networks,Computer Science,1993,2091,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-10,0
15,170,The Oxford Handbook of Managerial Accounting,Business,1984,1785,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-10,0
16,187,The Cambridge Companion to the Short Story,Literature,2021,1516,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-12,0
17,1001,Foundations of Structural Analysis,Engineering,1996,1692,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-11,0
18,574,Readings in the Cold War,History,1996,1388,Undergraduate,Music Library,2024-09-01,2024-09-22,2024-09-07,0
19,72,Introduction to the Atlantic Slave Trade,History,1968,126,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-10-10,0
20,296,Principles of Islamic Ornament,Art,2019,812,Graduate,Storage Annex,2024-09-01,2024-10-13,2024-09-27,0
21,1130,Topics in the Reformation,History,2022,1330,Undergraduate,Law Library,2024-09-01,2024-09-22,2024-09-15,0
22,689,Topics in Market Structure,Business,1992,1865,Graduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-09-12,0
