ticket_id,ticket_age_hours,customer_tenure_days,prior_tickets_90d,message_count,account_seats,plan_tier_rank,escalated
T-01000,24.3,870,1,3,70,3,1
T-01001,3.8,917,1,7,332,1,1
T-01002,10.1,629,5,2,340,1,1
T-01003,8.0,1392,3,3,39,1,0
T-01004,51.7,146,2,4,23,1,0
T-01005,13.9,1565,4,5,502,3,0
T-01006,0.8,1962,2,4,97,1,0
T-01007,3.1,875,1,8,365,4,1
T-01008,12.1,1899,2,3,254,3,1
T-01009,155.9,1909,4,4,1431,1,1
T-01010,10.3,1533,3,4,165,2,0
T-01011,13.9,762,1,9,180,1,0
T-01012,21.3,544,0,8,76,1,0
T-01013,93.2,721,1,8,297,4,1
T-01014,2.1,2150,2,6,148,1,0
T-01015,26.6,34,3,5,3,2,0
T-01016,60.4,1565,5,7,84,2,1
T-01017,67.7,184,0,3,36,2,0
T-01018,15.4,626,2,3,6,2,0
T-01019,35.5,223,3,4,310,3,1
T-01020,3.1,1901,5,6,50,4,1
T-01021,23.8,1889,2,3,47,2,0
T-01022,44.4,402,2,7,307,2,1
T-01023,18.3,1318,1,6,58,3,1
T-01024,3.4,285,3,6,20,1,0
T-01025,80.9,1566,3,6,542,1,0
T-01026,141.2,81,5,7,236,4,1
T-01027,1.1,1375,4,5,9,2,0
T-01028,28.8,1092,1,8,34,3,1
T-01029,19.0,258,5,7,91,1,1
T-01030,68.3,651,1,8,566,4,1
T-01031,2.0,678,3,4,29,3,0
T-01032,17.5,1647,5,6,44,2,0
T-01033,11.0,1224,2,6,110,1,0
T-01034,1.7,910,3,4,519,1,0
T-01035,18.2,1278,3,7,142,1,0
T-01036,16.7,190,1,5,84,3,1
T-01037,27.9,1255,3,7,578,4,1
T-01038,0.9,1199,2,7,193,1,0
T-01039,64.3,1825,1,6,23,1,0
T-01040,27.1,2133,0,2,78,2,0
T-01041,3.0,211,0,8,60,3,1
T-01042,75.7,1987,1,6,46,2,1
T-01043,79.3,296,1,7,55,3,1
T-01044,62.3,737,1,7,42,2,1
T-01045,17.8,1261,0,8,678,4,0
T-01046,6.2,1685,3,8,76,3,0
T-01047,0.8,329,3,8,314,2,1
T-01048,31.4,1993,4,4,2063,1,0
T-01049,83.5,737,3,6,881,2,1
T-01050,1.2,1592,0,12,349,2,0
T-01051,8.8,468,0,5,22,1,0
T-01052,24.6,1841,1,8,43,2,1
T-01053,12.3,203,0,3,72,1,0
T-01054,6.5,1350,5,4,326,4,1
T-01055,11.1,2162,3,5,30,1,0
T-01056,79.8,1937,2,5,236,2,0
T-01057,12.8,1638,3,5,554,1,0
T-01058,43.6,2036,2,5,17,3,0
T-01059,2.0,1003,1,6,129,1,0
T-01060,15.5,366,0,8,215,1,0
T-01061,56.5,2036,0,6,203,2,0
T-01062,80.7,739,3,5,13,2,1
T-01063,16.2,633,2,6,146,1,0
T-01064,42.2,1955,1,6,15,1,0
T-01065,164.4,984,3,6,289,1,1
T-01066,38.1,1805,5,4,148,2,0
T-01067,72.9,1889,4,5,127,1,0
T-01068,36.7,1096,2,11,14,1,0
T-01069,23.2,989,2,5,345,2,0
T-01070,36.7,523,3,5,28,4,1
T-01071,27.2,631,6,5,20,1,1
T-01072,90.8,1973,2,7,353,1,1
T-01073,35.8,52,3,9,280,4,1
T-01074,79.0,1326,1,6,145,1,1
T-01075,6.1,1751,1,7,23,3,1
T-01076,76.1,1649,0,2,525,1,0
T-01077,62.8,476,0,10,633,2,1
T-01078,77.7,17,3,5,37,1,1
T-01079,20.1,242,3,2,122,2,1
T-01080,1.5,1189,1,1,258,2,0
T-01081,52.9,959,3,9,382,2,1
T-01082,0.6,504,0,5,769,1,0
T-01083,29.9,123,3,5,297,3,0
T-01084,5.0,1331,0,5,38,2,1
T-01085,130.6,131,2,9,74,1,1
T-01086,45.3,391,1,6,38,1,1
T-01087,3.7,1200,4,7,333,1,0
T-01088,20.0,1528,0,4,28,1,0
T-01089,12.1,1096,1,4,10,2,0
T-01090,9.3,2179,2,7,27,3,0
T-01091,17.8,360,4,4,131,2,1
T-01092,23.8,1528,3,2,21,2,0
T-01093,8.4,1508,2,4,341,2,0
T-01094,106.0,1464,2,9,250,1,1
T-01095,79.4,675,3,4,83,1,1
T-01096,79.2,1083,4,6,143,2,1
T-01097,17.6,231,0,6,69,1,0
T-01098,9.1,929,3,7,597,4,1
T-01099,37.9,98,0,7,217,2,0
T-01100,196.2,539,4,2,6,1,1
T-01101,15.1,803,0,4,253,2,0
T-01102,18.1,152,3,4,21,1,0
T-01103,6.1,1658,0,6,38,1,0
T-01104,11.7,641,1,2,400,3,0
T-01105,63.1,1214,2,2,86,2,0
T-01106,2.1,775,1,2,20,1,0
T-01107,47.2,710,1,7,574,1,1
T-01108,4.4,2150,5,5,128,2,0
T-01109,17.3,2174,1,6,27,1,0
T-01110,43.1,1122,3,9,135,1,0
T-01111,77.3,1280,0,3,478,2,1
T-01112,1.8,1798,4,8,62,1,1
T-01113,16.0,528,0,7,104,1,0
T-01114,10.3,995,0,3,71,3,0
T-01115,14.2,929,2,4,106,4,0
T-01116,12.2,1868,2,6,134,3,1
T-01117,63.4,888,1,8,291,4,0
T-01118,89.5,43,0,6,62,1,1
T-01119,1.3,63,3,2,121,1,1
T-01120,27.4,455,0,4,301,3,0
T-01121,14.3,1284,2,5,174,1,1
T-01122,73.7,1137,2,2,73,1,1
T-01123,1.0,1270,2,4,163,1,0
T-01124,19.6,1283,0,4,10,1,0
T-01125,2.1,1650,4,14,49,2,0
T-01126,15.0,2165,5,4,359,1,0
T-01127,17.4,2147,4,2,192,3,1
T-01128,14.8,316,1,5,7,2,1
T-01129,4.7,2161,3,8,96,2,0
T-01130,9.5,437,3,6,563,2,0
T-01131,26.8,230,1,7,316,3,1
T-01132,14.5,1621,2,5,122,2,0
T-01133,40.0,1045,3,5,136,1,0
T-01134,60.7,888,2,4,116,1,0
T-01135,14.2,953,2,6,42,2,0
T-01136,29.9,564,0,9,271,2,0
T-01137,8.8,112,1,8,97,3,0
T-01138,22.4,1196,4,5,46,1,0
T-01139,35.5,1060,2,6,7,1,0
T-01140,12.6,1013,1,10,34,1,1
T-01141,38.2,2050,2,7,78,1,1
T-01142,2.5,1914,0,5,262,3,0
T-01143,74.8,1244,0,6,40,3,1
T-01144,24.6,2044,2,8,1380,3,1
T-01145,32.6,135,2,5,67,1,0
T-01146,2.7,1476,6,4,347,1,0
T-01147,1.2,331,2,3,157,2,0
T-01148,22.9,275,1,6,33,1,0
T-01149,18.3,1189,1,7,41,1,0
T-01150,52.2,167,0,8,1159,1,1
T-01151,107.2,1331,1,9,48,3,1
T-01152,55.4,690,3,4,2427,1,0
T-01153,2.1,1533,2,4,43,1,0
T-01154,20.4,1020,2,4,326,2,0
T-01155,7.5,314,0,11,188,1,1
T-01156,29.6,466,2,3,742,2,1
T-01157,20.7,1908,0,5,18,2,0
T-01158,95.2,1576,3,6,151,2,1
T-01159,7.9,378,1,4,278,2,0
T-01160,8.9,1131,2,6,868,1,1
T-01161,27.8,410,1,5,382,1,0
T-01162,6.7,1050,1,7,163,3,0
T-01163,40.4,453,2,6,302,3,1
T-01164,46.4,737,0,5,1056,1,0
T-01165,81.1,1731,1,5,9,3,1
T-01166,135.6,1735,2,5,16,2,1
T-01167,24.8,857,2,6,345,3,0
T-01168,54.8,1865,1,7,36,2,0
T-01169,66.1,233,2,5,96,2,1
T-01170,6.9,204,1,5,43,2,0
T-01171,4.3,498,1,9,196,1,1
T-01172,5.9,1390,2,7,64,2,0
T-01173,15.0,1876,4,4,162,3,0
T-01174,32.8,1381,0,4,40,2,0
T-01175,22.0,1276,0,8,147,1,0
T-01176,8.3,42,5,5,16,1,1
T-01177,5.1,219,2,8,23,1,0
T-01178,11.7,2060,0,2,81,1,0
T-01179,3.0,351,0,4,138,1,1
T-01180,3.3,948,5,5,55,3,1
T-01181,15.6,905,5,5,216,4,1
T-01182,16.3,1809,2,10,3480,2,1
T-01183,16.0,917,2,6,81,2,0
T-01184,138.1,2044,2,4,44,1,1
T-01185,32.8,1827,3,4,289,2,0
T-01186,27.1,950,3,6,70,1,0
T-01187,35.6,1884,2,3,93,3,1
T-01188,0.7,197,7,6,129,1,0
T-01189,39.4,2086,2,5,151,2,1
T-01190,28.7,797,0,11,111,2,0
T-01191,93.2,998,0,4,1447,2,1
T-01192,37.0,804,2,6,236,4,1
T-01193,7.0,1007,2,5,349,3,1
T-01194,56.8,693,1,9,1764,3,1
T-01195,12.2,40,2,6,55,2,1
T-01196,35.7,158,4,7,612,2,1
T-01197,32.4,649,4,6,290,1,0
T-01198,29.4,760,1,5,995,3,1
T-01199,5.6,942,2,5,28,1,0
T-01200,117.8,1814,0,3,1688,2,1
T-01201,4.4,1500,1,8,74,2,0
T-01202,70.1,9,2,8,88,2,1
T-01203,15.6,693,2,2,331,1,0
T-01204,4.1,1610,6,5,959,2,1
T-01205,29.7,1314,3,5,1111,3,1
T-01206,30.2,1165,0,4,398,1,0
T-01207,60.1,1352,0,12,294,3,0
T-01208,23.8,665,2,6,57,1,0
T-01209,32.2,2046,1,7,107,3,1
T-01210,21.4,155,3,4,65,2,1
T-01211,27.4,1150,2,7,12,3,1
T-01212,1.6,200,2,5,151,1,0
T-01213,21.2,977,4,4,1554,2,0
T-01214,10.7,713,1,1,206,2,0
T-01215,70.2,1612,4,5,143,1,0
T-01216,3.1,897,2,3,102,2,0
T-01217,29.2,2062,1,7,36,1,0
T-01218,7.7,146,3,8,129,1,0
T-01219,28.4,676,3,4,132,2,1
T-01220,10.7,1642,1,3,23,1,0
T-01221,21.9,675,0,4,34,3,1
T-01222,32.2,1016,4,9,43,1,1
T-01223,35.9,254,4,3,9,2,0
T-01224,19.9,1703,1,7,349,1,0
T-01225,46.5,314,0,5,393,3,1
T-01226,17.4,134,2,3,34,2,0
T-01227,5.8,348,6,7,73,1,1
T-01228,4.1,1815,3,9,15,2,1
T-01229,31.9,1637,1,3,238,1,0
T-01230,0.6,1120,3,8,21,1,0
T-01231,9.3,1166,1,6,148,1,0
T-01232,2.4,2052,1,9,29,3,0
T-01233,21.3,1528,1,5,97,3,0
T-01234,41.7,480,1,2,75,3,1
T-01235,8.4,1839,3,8,53,2,1
T-01236,16.5,1406,2,3,8,1,0
T-01237,65.2,1010,3,6,17,1,1
T-01238,27.7,1543,2,5,330,2,0
T-01239,53.8,1028,2,7,174,1,1
T-01240,118.5,1847,1,4,51,2,1
T-01241,33.1,1511,3,4,40,2,0
T-01242,16.1,1723,0,2,1070,2,0
T-01243,1.1,1476,3,5,1,2,1
T-01244,4.4,1879,2,10,863,2,0
T-01245,52.1,2158,4,3,262,2,1
T-01246,13.6,1504,2,3,8,3,0
T-01247,71.1,1892,2,3,16,1,0
T-01248,11.4,786,4,5,160,2,1
T-01249,7.0,779,1,11,7,2,1
T-01250,84.7,101,5,5,76,2,1
T-01251,50.1,1792,3,4,48,1,0
T-01252,42.1,976,3,4,71,3,0
T-01253,23.3,1552,2,5,62,1,1
T-01254,23.5,1420,3,10,25,3,0
T-01255,17.1,1466,1,2,183,2,1
T-01256,62.9,884,2,7,17,2,1
T-01257,73.7,1697,3,5,352,1,1
T-01258,3.9,736,1,4,17,2,0
T-01259,7.6,2074,2,7,399,4,0
T-01260,5.2,1864,0,3,32,4,0
T-01261,113.8,387,6,7,183,3,1
T-01262,20.2,949,3,8,486,1,0
T-01263,11.7,20,3,3,679,2,0
T-01264,34.8,1483,3,3,74,1,0
T-01265,43.3,1677,1,3,42,1,0
T-01266,90.6,1629,2,5,1061,2,1
T-01267,44.7,501,1,7,94,2,1
T-01268,17.6,134,3,4,145,1,0
T-01269,20.0,624,3,6,9,3,0
T-01270,11.1,1527,2,8,106,1,0
T-01271,39.9,475,1,3,88,1,0
T-01272,54.5,1109,2,6,104,1,1
T-01273,3.6,1484,0,3,148,2,0
T-01274,1.7,832,3,5,317,1,0
T-01275,39.8,810,3,3,927,1,1
T-01276,57.5,124,5,7,133,3,1
T-01277,62.1,945,2,11,13,1,1
T-01278,18.9,1569,4,3,192,1,0
T-01279,40.2,1647,5,9,504,1,1
T-01280,8.7,2182,3,5,63,2,0
T-01281,4.7,1132,3,6,63,3,1
T-01282,2.1,783,4,7,634,4,1
T-01283,32.1,869,2,6,229,2,0
T-01284,7.4,653,4,2,69,2,0
T-01285,34.7,10,0,6,383,2,1
T-01286,38.9,439,1,9,44,1,1
T-01287,43.8,1698,2,7,47,1,0
T-01288,64.6,680,2,4,11,1,0
T-01289,8.6,127,3,3,21,3,1
T-01290,30.6,1554,1,5,40,3,1
T-01291,27.8,1192,3,5,126,1,0
T-01292,12.3,1237,2,7,39,3,0
T-01293,18.1,587,2,5,4,1,0
T-01294,43.9,1093,4,3,110,1,1
T-01295,94.8,1164,2,4,29,3,1
T-01296,9.5,1350,1,7,63,3,0
T-01297,4.8,962,3,5,990,1,0
T-01298,48.5,83,2,4,44,2,0
T-01299,8.4,1801,2,7,70,3,1
T-01300,29.0,1287,1,5,1155,3,1
T-01301,9.7,592,1,5,366,1,1
T-01302,15.4,1236,3,5,880,2,0
T-01303,11.7,536,4,4,35,1,0
T-01304,2.1,1818,3,10,599,1,1
T-01305,17.4,1163,4,5,159,1,0
T-01306,8.7,1413,2,4,222,2,1
T-01307,55.2,1895,3,3,90,3,0
T-01308,23.3,474,4,9,29,1,1
T-01309,30.1,1585,3,5,608,4,1
T-01310,27.1,193,2,7,203,1,0
T-01311,22.0,1392,3,9,32,3,1
T-01312,13.2,1267,4,7,17,1,0
T-01313,48.4,284,4,3,40,2,1
T-01314,19.6,1757,3,5,25,3,0
T-01315,4.6,189,2,6,1486,1,0
T-01316,53.8,1319,2,5,581,2,0
T-01317,17.6,1613,2,6,150,1,0
T-01318,55.9,965,1,7,49,1,1
T-01319,32.9,1408,4,2,108,2,1
T-01320,2.5,745,0,5,145,1,0
T-01321,30.8,328,4,2,1079,1,0
T-01322,80.0,636,2,6,63,1,1
T-01323,84.4,1317,2,5,148,1,1
T-01324,29.1,1412,1,10,120,2,1
T-01325,33.4,887,1,4,14,1,1
T-01326,16.8,1938,1,3,77,3,1
T-01327,18.9,557,2,5,503,2,0
T-01328,43.1,1093,1,4,440,1,0
T-01329,0.5,1602,2,8,9,3,0
T-01330,29.9,46,0,5,22,2,1
T-01331,13.2,728,2,9,13,4,1
T-01332,38.3,2080,2,8,95,4,0
T-01333,6.0,1777,2,5,203,1,1
T-01334,47.4,1245,2,2,159,4,1
T-01335,23.7,1222,1,5,433,2,0
T-01336,1.5,1669,1,6,42,2,0
T-01337,118.2,2129,2,5,178,3,1
T-01338,1.3,184,1,5,156,1,0
T-01339,0.9,802,2,5,72,3,1
T-01340,96.3,60,0,4,11,1,0
T-01341,12.9,915,2,8,117,1,0
T-01342,12.9,1679,2,5,226,3,0
T-01343,26.1,1969,1,8,21,2,0
T-01344,9.1,2050,3,4,222,1,0
T-01345,52.2,1344,5,3,147,1,1
T-01346,1.6,970,6,6,16,2,1
T-01347,32.2,309,3,4,220,4,0
T-01348,21.6,1628,1,2,435,1,0
